project,t1,t2,duration,ratio,cumratio
jhalterman_modelmapper,JDBC,JPA,0,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,1,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,2,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,3,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,4,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,5,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,6,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,7,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,8,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,9,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,10,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,11,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,12,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,13,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,14,0.0,0.0
jhalterman_modelmapper,JDBC,JPA,15,0.0,0.0
SpringSource_spring-security,JDBC,JPA,0,0.0,0.0
SpringSource_spring-security,JDBC,JPA,1,0.0,0.0
SpringSource_spring-security,JDBC,JPA,2,0.0,0.0
SpringSource_spring-security,JDBC,JPA,3,0.0,0.0
SpringSource_spring-security,JDBC,JPA,4,0.0,0.0
SpringSource_spring-security,JDBC,JPA,5,0.0,0.0
SpringSource_spring-security,JDBC,JPA,6,0.0,0.0
SpringSource_spring-security,JDBC,JPA,7,0.0,0.0
SpringSource_spring-security,JDBC,JPA,8,0.0,0.0
SpringSource_spring-security,JDBC,JPA,9,0.0,0.0
SpringSource_spring-security,JDBC,JPA,10,0.0,0.0
SpringSource_spring-security,JDBC,JPA,11,0.0,0.0
SpringSource_spring-security,JDBC,JPA,12,0.0,0.0
SpringSource_spring-security,JDBC,JPA,13,0.0,0.0
SpringSource_spring-security,JDBC,JPA,14,0.0,0.0
SpringSource_spring-security,JDBC,JPA,15,0.0,0.0
eclipse_jubula.core,JDBC,JPA,0,0.0,0.0
eclipse_jubula.core,JDBC,JPA,1,0.0,0.0
eclipse_jubula.core,JDBC,JPA,2,0.0,0.0
eclipse_jubula.core,JDBC,JPA,3,0.0,0.0
eclipse_jubula.core,JDBC,JPA,4,0.0,0.0
eclipse_jubula.core,JDBC,JPA,5,0.0,0.0
eclipse_jubula.core,JDBC,JPA,6,0.0,0.0
eclipse_jubula.core,JDBC,JPA,7,0.0,0.0
eclipse_jubula.core,JDBC,JPA,8,0.0,0.0
eclipse_jubula.core,JDBC,JPA,9,0.0,0.0
eclipse_jubula.core,JDBC,JPA,10,0.0,0.0
eclipse_jubula.core,JDBC,JPA,11,0.0,0.0
eclipse_jubula.core,JDBC,JPA,12,0.0,0.0
eclipse_jubula.core,JDBC,JPA,13,0.0,0.0
eclipse_jubula.core,JDBC,JPA,14,0.0,0.0
eclipse_jubula.core,JDBC,JPA,15,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,0,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,1,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,2,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,3,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,4,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,5,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,6,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,7,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,8,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,9,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,10,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,11,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,12,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,13,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,14,0.0,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,15,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,0,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,1,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,2,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,3,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,4,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,5,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,6,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,7,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,8,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,9,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,10,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,11,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,12,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,13,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,14,0.0,0.0
qcadoo_qcadoo,JDBC,JPA,15,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,0,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,1,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,2,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,3,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,4,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,5,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,6,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,7,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,8,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,9,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,10,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,11,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,12,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,13,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,14,0.0,0.0
SacredCoding_PreciousStones,JDBC,JPA,15,0.0,0.0
42BV_jarb,JDBC,JPA,0,0.0,0.0
42BV_jarb,JDBC,JPA,1,0.0,0.0
42BV_jarb,JDBC,JPA,2,0.0,0.0
42BV_jarb,JDBC,JPA,3,0.0,0.0
