project,t1,t2,ratio
jhalterman_modelmapper,JDBC,JPA,0.0
SpringSource_spring-security,JDBC,JPA,0.0
eclipse_jubula.core,JDBC,JPA,0.0
arquillian_arquillian-extension-persistence,JDBC,JPA,0.0
qcadoo_qcadoo,JDBC,JPA,0.0
SacredCoding_PreciousStones,JDBC,JPA,0.0
42BV_jarb,JDBC,JPA,0.0
santiagozky_harmony,JDBC,JPA,0.0
brix-cms_brix-cms-plugins,JDBC,JPA,0.0
joedayz_corespring,JDBC,JPA,0.0
nuxeo_nuxeo-features,JDBC,JPA,0.0
opower_jpile,JDBC,JPA,0.0
sabio_CosasDeBugDeveloper,JDBC,JPA,0.0
encog_encog-java-core,JDBC,JPA,0.0
hibernate_hibernate-ogm,JDBC,JPA,0.0
dagi_spring-training,JDBC,JPA,0.0
ichatz_wiseml,JDBC,JPA,0.0
nuxeo_nuxeo-core,JDBC,JPA,0.0
garyrussell_spring-integration-ha-demo,JDBC,JPA,0.25
droolsjbpm_droolsjbpm-contributed-experiments,JDBC,JPA,0.0
infinispan_infinispan,JDBC,JPA,0.0
societies_SOCIETIES-Platform,JDBC,JPA,0.0
apache_geronimo,JDBC,JPA,0.0
sanger-pathogens_GeneDB,JDBC,JPA,0.0
CPSC310W2012_Team-02,JDBC,JPA,0.0
adempiere_extension_libero_manufacturing,JDBC,JPA,0.0
wolfc_jboss-jpa,JDBC,JPA,0.0
jbehave_jbehave-core,JDBC,JPA,0.0
nhnopensource_ngrinder,JDBC,JPA,0.0
diegopacheco_Diego-Pacheco-Sandbox,JDBC,JPA,0.0
hibernate_hibernate-tools,JDBC,JPA,0.0
johnedmonds_pepco-tracker,JDBC,JPA,0.3529412
apache_tuscany-sca-2.x,JDBC,JPA,0.0
EMC-CloudTeam_Plants,JDBC,JPA,0.0
apache_cxf,JDBC,JPA,0.0
DSpace_dspace-rest,JDBC,JPA,1.0
savara_savara-core,JDBC,JPA,0.0
jOOQ_jOOQ,JDBC,JPA,0.012820513
hhlai1990_rapid,JDBC,JPA,0.0
SpringSource_spring-batch,JDBC,JPA,0.0
SpringSource_spring-data-envers,JDBC,JPA,0.0
abiquo_abiquo,JDBC,JPA,0.0
Raphfrk_Server-Port-Warps,JDBC,JPA,0.0
michaeldejong_EveNexus,JDBC,JPA,0.2173913
lu4242_performance-comparison-java-web-frameworks,JDBC,JPA,0.0
alkacon_opencms-core,JDBC,JPA,0.0
Silverpeas_Silverpeas-Archetype,JDBC,JPA,0.0
jdmr_es-portlet,JDBC,JPA,0.0
rafaelsteil_jforum3,JDBC,JPA,0.0
SpringSource_spring-data-jpa-examples,JDBC,JPA,0.0
gridgain_gridgain,JDBC,JPA,0.0
jpos_jPOS,JDBC,JPA,0.0
ciudadanointeligente_legislativo-api-java,JDBC,JPA,0.33333334
CONNECT-Solution_CONNECT,JDBC,JPA,0.0
riotfamily_riot,JDBC,JPA,0.0
jeberma_example,JDBC,JPA,0.0
akquinet_needle,JDBC,JPA,0.0
cloudfoundry_vcap-java-client,JDBC,JPA,0.0
INCF_eeg-database,JDBC,JPA,0.20833333
krams915_spring-batch-tutorial,JDBC,JPA,0.0
apache_cayenne,JDBC,JPA,0.0
gluster_gmc,JDBC,JPA,0.0
CleverCloud_Bianca,JDBC,JPA,0.014619883
worktokenteam_worktoken,JDBC,JPA,0.0
hibernate_hibernate-search,JDBC,JPA,0.0
saury07_Vaadin,JDBC,JPA,0.0
avshabanov_java-maven-tests,JDBC,JPA,0.0
idega_com.idega.core,JDBC,JPA,0.032467533
tulskiy_musique,JDBC,JPA,0.2
mariuszs_openxava,JDBC,JPA,0.0
springtestdbunit_spring-test-dbunit,JDBC,JPA,0.0
groovy_groovy-core,JDBC,JPA,0.0
daoway_AtomikosDistributedScalability,JDBC,JPA,0.0
nasa_mct,JDBC,JPA,0.0
yetanotherx_ModTRS,JDBC,JPA,0.0
krasserm_ipf,JDBC,JPA,0.5
wijiti_dspace-rest-api,JDBC,JPA,0.64285713
allwefantasy_ServiceFramework,JDBC,JPA,0.0
jsanchezramos_k-pax,JDBC,JPA,0.5
henryyan_activiti-jpa-api,JDBC,JPA,0.0
apache_openjpa,JDBC,JPA,0.0
idega_com.idega.block.article,JDBC,JPA,0.0
SpringSource_spring-framework-issues,JDBC,JPA,0.0
mcarniel_oswing,JDBC,JPA,0.0
gxa_gxa,JDBC,JPA,0.083333336
itm_wsn-device-drivers,JDBC,JPA,0.0
zkoss_zk,JDBC,JPA,0.0
riftsaw_riftsaw-ode,JDBC,JPA,0.06666667
obergner_camelpe,JDBC,JPA,0.0
SonarSource_sonar,JDBC,JPA,0.027777778
tomp2p_TomP2P,JDBC,JPA,0.0
molgenis_molgenis,JDBC,JPA,0.0
ISA-tools_BioInvIndex,JDBC,JPA,0.016949153
exanpe_ultimate-breakfast,JDBC,JPA,0.0
fenix-framework_fenix-framework,JDBC,JPA,0.0
fqntxmqee_webframe,JDBC,JPA,0.0
candlepin_candlepin,JDBC,JPA,0.0
akquinet_GuttenBase,JDBC,JPA,0.009708738
