project,interestingfiles,t1,t2,duration,suppression,completion,replacement,residual
jpaoletti_java-presentation-manager,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
jpaoletti_java-presentation-manager,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
cmoulliard_camel-osgi-servicemix-tutorial,1,Hibernate,JPA,0,0.0,1.0,0.0,0.0
cmoulliard_camel-osgi-servicemix-tutorial,1,Hibernate,JPA,1,0.0,1.0,0.0,0.0
cmoulliard_camel-osgi-servicemix-tutorial,1,Hibernate,JPA,8,0.0,1.0,0.0,0.0
cmoulliard_camel-osgi-servicemix-tutorial,1,Hibernate,JPA,15,0.0,1.0,0.0,0.0
joedayz_corespring,6,Hibernate,JPA,0,0.0,0.33333334,0.0,0.6666667
joedayz_corespring,6,Hibernate,JPA,1,0.0,0.33333334,0.0,0.6666667
joedayz_corespring,6,Hibernate,JPA,8,0.0,0.33333334,0.0,0.6666667
joedayz_corespring,6,Hibernate,JPA,15,0.0,0.33333334,0.0,0.6666667
sabio_CosasDeBugDeveloper,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
sabio_CosasDeBugDeveloper,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
sabio_CosasDeBugDeveloper,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
sabio_CosasDeBugDeveloper,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
ichatz_wiseml,14,Hibernate,JPA,0,0.0,0.64285713,0.0,0.35714287
ichatz_wiseml,14,Hibernate,JPA,1,0.21428572,0.0,0.0,0.78571427
ichatz_wiseml,14,Hibernate,JPA,8,0.21428572,0.0,0.0,0.78571427
ichatz_wiseml,14,Hibernate,JPA,15,1.0,0.0,0.0,0.0
societies_SOCIETIES-Platform,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
societies_SOCIETIES-Platform,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
societies_SOCIETIES-Platform,1,Hibernate,JPA,8,0.0,0.0,0.0,1.0
societies_SOCIETIES-Platform,1,Hibernate,JPA,15,0.0,0.0,0.0,1.0
sanger-pathogens_GeneDB,1,Hibernate,JPA,0,0.0,0.0,0.0,1.0
sanger-pathogens_GeneDB,1,Hibernate,JPA,1,0.0,0.0,0.0,1.0
sanger-pathogens_GeneDB,1,Hibernate,JPA,8,1.0,0.0,0.0,0.0
sanger-pathogens_GeneDB,1,Hibernate,JPA,15,1.0,0.0,0.0,0.0
hibernate_hibernate-tools,29,Hibernate,JPA,0,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,29,Hibernate,JPA,1,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,29,Hibernate,JPA,8,0.0,0.0,0.0,1.0
hibernate_hibernate-tools,29,Hibernate,JPA,15,0.0,0.0,0.0,1.0
SpringSource_spring-batch,2,Hibernate,JPA,0,0.0,0.5,0.0,0.5
SpringSource_spring-batch,2,Hibernate,JPA,1,0.0,0.5,0.0,0.5
SpringSource_spring-batch,2,Hibernate,JPA,8,0.0,0.5,0.0,0.5
SpringSource_spring-batch,2,Hibernate,JPA,15,0.0,0.5,0.0,0.5
abiquo_abiquo,38,Hibernate,JPA,0,0.0,0.0,0.0,1.0
abiquo_abiquo,38,Hibernate,JPA,1,0.0,0.0,0.0,1.0
abiquo_abiquo,38,Hibernate,JPA,8,0.0,0.0,0.0,1.0
abiquo_abiquo,38,Hibernate,JPA,15,0.0,0.0,0.0,1.0
grisu_grisu,4,Hibernate,JPA,0,0.0,0.75,0.0,0.25
grisu_grisu,4,Hibernate,JPA,1,0.0,0.75,0.0,0.25
grisu_grisu,4,Hibernate,JPA,8,0.75,0.0,0.0,0.25
grisu_grisu,4,Hibernate,JPA,15,0.75,0.0,0.0,0.25
gridgain_gridgain,2,Hibernate,JPA,0,0.0,0.5,0.0,0.5
gridgain_gridgain,2,Hibernate,JPA,1,0.5,0.5,0.0,0.0
gridgain_gridgain,2,Hibernate,JPA,8,1.0,0.0,0.0,0.0
