duration,event
160,0
160,0
0,1
1292,0
1292,0
1630,0
912,1
182,1
400,1
55,1
280,1
551,1
103,1
89,1
454,1
454,1
194,1
242,1
34,1
34,1
34,1
167,1
167,1
728,0
728,0
69,1
69,1
69,1
440,1
440,1
440,1
63,1
63,1
35,1
1009,0
1406,1
116,1
116,1
636,1
90,1
90,1
90,1
90,1
90,1
90,1
90,1
371,1
364,1
371,1
371,1
371,1
371,1
273,1
371,1
132,1
-14,1
791,1
812,1
24,0
0,0
0,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1239,0
1035,1
1035,1
1035,1
1035,1
1035,1
727,1
1035,1
1035,1
215,1
215,1
215,1
215,1
215,1
215,1
215,1
292,1
222,1
90,1
222,1
1139,1
1028,1
1028,1
1028,1
1258,1
439,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
34,1
910,1
910,1
111,1
910,1
889,1
868,1
104,1
83,1
910,1
868,1
104,1
104,1
104,1
104,1
104,1
104,1
910,1
868,1
910,1
910,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
90,1
805,1
98,1
601,1
202,1
90,1
13,1
0,0
0,0
0,1
642,1
104,1
104,1
-1,1
-1,1
112,1
105,1
82,1
0,1
1707,0
804,1
559,1
895,0
0,1
119,1
62,1
84,1
148,1
49,1
895,0
26,1
889,1
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
