duration,event
52,1
89,1
309,0
41,0
41,0
182,1
198,1
21,0
21,0
230,1
804,1
804,1
371,0
295,0
267,0
42,1
1246,1
14,1
14,1
29,0
2405,0
2257,0
693,1
693,1
900,1
1097,0
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
7,1
567,1
552,1
81,1
346,1
371,1
349,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
371,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
609,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
650,1
133,1
133,1
133,1
133,1
1239,0
727,1
80,1
80,1
3,1
80,1
80,1
80,1
3,1
80,1
80,1
573,1
179,1
27,1
197,1
54,1
249,1
240,0
764,0
