duration,event
160,0
160,0
0,1
1292,0
1292,0
1630,0
1299,1
1292,1
1292,1
1292,1
1292,1
1292,1
1292,1
182,1
400,1
55,1
551,1
103,1
89,1
62,1
62,1
194,1
242,1
34,1
34,1
34,1
167,1
167,1
728,0
728,0
69,1
69,1
69,1
440,1
440,1
440,1
63,1
63,1
1009,0
1989,0
116,1
116,1
49,1
49,1
49,1
49,1
49,1
49,1
49,1
433,1
426,1
433,1
433,1
433,1
433,1
335,1
231,1
1238,0
1238,0
1238,0
1238,0
1238,0
1238,0
1238,0
1238,0
1217,0
812,1
24,0
0,0
0,0
215,1
215,1
215,1
215,1
215,1
215,1
215,1
292,1
222,1
90,1
222,1
432,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
182,1
910,1
910,1
910,1
90,1
910,1
889,1
868,1
104,1
83,1
910,1
868,1
104,1
104,1
104,1
104,1
104,1
104,1
910,1
868,1
83,1
910,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
104,1
90,1
805,1
98,1
601,1
202,1
90,1
13,1
0,0
0,0
0,1
573,1
430,0
430,0
430,0
423,0
180,1
0,1
1707,0
804,1
679,1
516,1
629,1
119,1
62,1
84,1
148,1
49,1
895,0
895,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
21,0
