duration,event
854,0
854,0
6,0
121,0
1570,0
21,0
20,1
1279,0
664,0
1279,0
1279,0
1279,0
1279,0
1279,0
319,0
449,1
30,0
403,0
-8,1
651,0
651,0
994,0
651,0
1078,0
784,0
0,1
2338,1
0,1
86,0
86,0
343,1
175,1
133,1
133,1
412,1
826,1
147,1
140,1
161,1
7,1
147,1
147,1
147,1
7,1
161,1
979,1
979,1
1308,1
0,1
1315,1
923,1
904,0
610,0
520,0
520,0
520,0
520,0
520,0
520,0
520,0
876,0
770,0
91,0
91,0
680,0
279,1
257,1
1448,1
1448,1
967,0
967,0
540,0
568,0
174,1
485,0
0,1
485,0
2992,0
0,1
1207,0
681,0
777,1
0,1
546,0
0,1
6,0
374,0
68,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
692,1
461,0
216,0
278,1
203,1
902,1
307,1
1239,0
20,1
39,1
229,1
229,1
229,1
229,1
229,1
545,1
159,1
433,1
177,1
567,1
188,1
286,1
461,1
524,1
488,1
230,1
286,1
177,1
188,1
419,1
559,1
488,1
559,1
461,1
188,1
488,1
567,1
461,1
447,1
177,1
328,1
433,1
461,1
573,1
447,1
286,1
237,1
286,1
559,1
524,1
461,1
461,1
188,1
461,1
573,1
7,1
-6,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
