duration,event
854,0
854,0
888,0
6,0
374,0
665,1
5,1
121,0
720,0
722,0
720,0
733,0
733,0
722,0
12,0
337,1
722,0
722,0
733,0
12,0
326,1
722,0
722,0
733,0
337,1
326,1
733,0
733,0
114,0
1570,0
13,0
1075,0
1075,0
1075,0
1075,0
1075,0
398,1
1435,0
1596,0
1722,0
2386,0
1474,0
509,0
2142,0
2912,0
1764,0
2058,0
2135,0
2415,0
509,0
2163,0
2380,0
398,1
2065,0
1021,0
1883,0
1474,0
2120,0
2030,0
104,1
398,1
1813,0
2120,0
2058,0
2302,0
987,0
1834,0
1813,0
2030,0
1813,0
319,0
1897,0
2120,0
2415,0
419,1
868,0
319,0
449,1
1190,0
162,0
301,1
118,1
13,1
300,1
6,1
1189,0
175,1
153,1
13,1
118,1
1189,0
41,1
1918,1
41,1
1918,1
273,1
181,0
229,1
229,1
229,1
229,1
229,1
30,0
49,0
223,1
403,0
208,1
208,1
580,0
469,0
469,0
469,0
357,0
690,1
314,1
8,1
336,1
336,1
354,1
86,0
86,0
343,1
1575,1
175,1
133,1
133,1
2992,0
48,1
583,0
19,0
19,0
19,0
19,0
19,0
1577,0
1577,0
1577,0
1577,0
1577,0
123,1
17,1
91,0
1170,0
148,0
68,0
858,0
858,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
818,0
348,0
348,0
348,0
206,0
348,0
348,0
206,0
6,1
49,1
201,1
685,0
407,0
272,0
104,0
104,0
854,0
229,1
229,1
229,1
229,1
229,1
433,1
433,1
433,1
433,1
433,1
1252,0
1252,0
1252,0
1252,0
390,0
48,0
48,0
1252,0
528,0
412,0
63,1
188,1
63,1
104,1
91,1
188,1
230,1
8,1
104,1
136,1
188,1
68,1
98,1
191,1
55,1
108,1
98,1
735,0
191,1
63,1
9,1
285,1
62,1
68,1
91,1
55,1
62,1
68,1
197,1
188,1
285,1
26,1
104,1
285,1
188,1
188,1
68,1
331,1
91,1
68,1
62,1
91,1
191,1
692,1
461,0
216,0
278,1
203,1
902,1
909,1
11,1
356,0
1239,0
826,0
20,1
77,0
1798,0
168,1
21,1
39,1
524,0
553,0
151,0
1658,0
159,1
559,1
559,1
237,1
433,1
559,1
559,1
177,1
559,1
567,1
188,1
286,1
461,1
524,1
488,1
559,1
559,1
524,1
559,1
177,1
230,1
286,1
177,1
188,1
559,1
419,1
559,1
559,1
559,1
488,1
559,1
461,1
559,1
188,1
488,1
567,1
461,1
447,1
559,1
322,1
322,1
559,1
177,1
559,1
516,1
559,1
328,1
559,1
433,1
461,1
573,1
322,1
559,1
447,1
516,1
286,1
237,1
286,1
559,1
559,1
524,1
559,1
461,1
461,1
559,1
559,1
559,1
559,1
188,1
461,1
559,1
573,1
642,1
14,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
13,1
1841,0
1841,0
1160,0
1841,0
1841,0
1841,0
1160,0
1160,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1232,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1160,0
1841,0
1841,0
1841,0
1841,0
1067,0
1841,0
1841,0
1841,0
306,0
1841,0
306,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
306,0
1841,0
1841,0
306,0
1116,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
1841,0
587,1
933,0
933,0
933,0
933,0
933,0
357,1
344,1
386,1
120,0
120,0
8,1
118,1
118,1
118,1
22,1
120,0
120,0
120,0
118,1
16,1
118,1
120,0
118,1
76,1
120,0
45,1
28,1
41,1
120,0
120,0
76,1
118,1
118,1
81,1
120,0
118,1
118,1
120,0
118,1
41,1
118,1
72,1
28,1
120,0
56,1
28,1
81,1
120,0
118,1
120,0
55,1
55,1
55,1
195,1
195,1
55,1
55,1
1200,1
1410,1
195,1
7,1
399,1
285,1
497,1
1207,0
681,0
777,1
1367,0
11,0
133,1
133,1
23,1
496,0
71,1
749,0
36,1
120,0
2338,1
561,0
411,0
411,0
411,0
411,0
411,0
408,1
650,1
58,1
58,1
55,1
55,1
449,1
449,1
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
9,0
110,1
110,1
110,1
149,1
110,1
152,0
110,1
110,1
110,1
110,1
49,1
110,1
152,0
99,1
110,1
110,1
110,1
149,1
