duration,event
72,1
7,1
24,1
0,1
7,1
84,1
7,1
65,1
84,1
77,1
84,1
1035,1
1035,1
1035,1
1035,1
1035,1
1035,1
1035,1
1035,1
742,1
229,1
742,1
229,1
742,1
229,1
91,1
6,1
229,1
676,1
441,1
76,1
238,0
238,0
742,1
146,1
238,0
168,1
238,0
238,0
235,1
229,1
238,0
229,1
742,1
238,0
6,1
238,1
742,1
238,0
229,1
21,1
420,1
238,0
742,1
238,0
742,1
146,0
742,1
532,1
644,1
168,1
589,1
118,1
676,1
420,1
742,1
238,0
229,1
238,0
238,0
238,0
742,1
166,1
238,0
455,1
238,0
742,1
229,1
229,1
4,1
229,1
229,1
235,1
742,1
238,0
238,0
280,1
229,1
238,0
118,1
448,1
238,0
358,1
742,1
229,1
589,1
742,1
560,1
742,1
12,0
229,1
742,1
146,0
238,0
532,1
676,1
17,1
21,1
676,1
238,0
742,1
238,0
229,1
637,1
229,1
476,1
609,1
14,1
238,0
238,0
476,1
589,1
427,1
742,1
229,1
6,1
229,1
168,1
238,0
252,1
229,1
210,1
742,1
238,0
238,0
238,0
238,0
427,1
146,1
238,0
238,0
167,0
229,1
742,1
364,1
238,0
125,1
229,1
676,1
238,0
146,0
146,0
420,1
229,1
238,0
742,1
154,1
238,0
589,1
238,0
21,1
43,1
231,1
238,0
27,0
238,0
238,0
238,0
59,1
238,0
0,1
43,1
0,1
229,1
742,1
229,1
229,1
15,1
21,1
742,1
154,1
742,1
238,0
238,0
146,0
554,1
229,1
69,1
104,1
0,1
238,0
518,1
146,0
742,1
146,0
238,0
0,1
518,1
146,0
15,1
229,1
589,1
742,1
229,1
146,1
238,0
238,0
238,0
112,1
146,0
0,1
742,1
742,1
229,1
160,1
146,0
229,1
146,0
118,1
104,1
238,0
238,0
742,1
742,1
238,0
0,1
742,1
229,1
560,1
229,1
539,1
742,1
238,0
238,0
229,1
504,1
364,1
434,1
238,0
238,0
146,1
742,1
742,1
35,1
676,1
229,1
972,0
972,0
972,0
972,0
597,0
972,0
972,0
972,0
972,0
761,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
140,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
296,1
761,0
140,0
972,0
972,0
972,0
972,0
761,0
972,0
972,0
112,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
972,0
668,0
972,0
972,0
972,0
972,0
972,0
972,0
67,1
306,1
443,1
459,1
0,1
108,1
53,1
25,1
387,1
477,1
404,1
466,1
46,1
1176,0
1176,0
1176,0
1176,0
3,1
1176,0
1220,0
1220,0
431,1
21,1
0,0
40,1
145,1
21,1
7,1
21,1
0,0
0,0
21,1
0,0
21,1
0,0
21,1
21,1
0,0
77,1
0,0
0,0
0,0
0,0
0,0
21,1
0,0
0,0
40,1
0,0
0,0
21,1
21,1
145,1
0,0
21,1
48,1
21,1
0,0
0,0
145,1
0,0
0,0
77,1
0,0
21,1
145,1
7,1
21,1
0,0
21,1
21,1
0,0
21,1
40,1
145,1
0,0
21,1
0,0
145,1
0,0
0,0
21,1
0,0
0,0
21,1
0,0
0,0
21,1
0,0
0,0
0,0
0,0
0,0
0,0
0,0
21,1
0,0
83,1
0,0
21,1
21,1
77,1
21,1
0,0
1427,0
220,0
1129,0
1129,0
1135,0
108,1
399,0
57,1
322,0
399,0
399,0
0,1
71,1
57,1
399,0
13,1
21,1
399,0
392,0
378,0
21,1
399,0
0,1
64,1
43,1
43,1
27,1
57,1
315,0
399,0
315,0
14,1
399,0
6,1
919,0
0,0
27,1
27,1
921,1
0,1
893,1
0,1
9,1
0,1
51,1
3,1
921,1
0,1
51,1
27,1
921,1
51,1
921,1
0,1
51,1
3,1
0,1
51,1
9,1
0,1
0,1
51,1
1064,1
1064,1
1064,1
1064,1
6,1
1141,1
1141,1
1141,1
1141,1
1141,1
1141,1
1141,1
105,1
105,1
1570,1
1570,1
1570,1
1570,1
149,1
149,1
149,1
149,1
1233,0
0,1
0,1
0,1
0,1
7,1
7,1
7,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
0,1
975,0
975,0
76,1
975,0
975,0
736,0
975,0
1150,0
1150,0
1150,0
1150,0
1169,0
1164,0
1150,0
0,1
1169,0
1150,0
1164,0
975,0
771,0
975,0
1150,0
975,0
975,0
975,0
1241,0
1688,0
344,0
344,0
344,0
1281,0
854,0
854,0
1472,0
1472,0
1457,0
1472,0
1472,0
1472,0
1457,0
1688,0
1688,0
1688,0
1688,0
1352,0
1688,0
1688,0
1688,0
1121,0
1492,0
134,0
1688,0
1688,0
1618,0
1618,0
337,0
337,0
1526,0
1526,0
1688,0
1526,0
1492,0
1688,0
1526,0
1688,0
1688,0
1526,0
448,1
323,0
975,0
1557,0
15,1
118,1
762,1
623,1
623,1
133,1
762,1
15,1
194,1
544,1
552,1
628,1
623,1
515,1
623,1
15,1
643,1
310,1
762,1
718,1
63,1
643,1
15,1
544,1
727,1
118,1
643,1
0,1
404,1
27,1
643,1
411,1
411,1
623,1
200,1
216,1
76,1
216,1
216,1
1246,0
1246,0
1246,0
197,0
97,1
2,1
145,1
0,1
208,1
105,1
44,1
175,1
44,1
90,1
110,1
61,1
105,1
208,1
161,1
105,1
135,1
153,1
352,1
254,1
28,1
186,1
40,1
0,1
186,1
90,1
90,1
97,1
61,1
167,1
175,1
105,1
2,1
28,1
105,1
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
283,1
1246,0
1523,0
1232,0
1523,0
270,1
319,1
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1176,0
1523,0
1523,0
1523,0
319,1
1523,0
1523,0
1523,0
1523,0
1523,0
231,0
1523,0
1523,0
319,1
1498,0
270,1
1523,0
1523,0
1523,0
1523,0
31,1
1523,0
1523,0
1523,0
1523,0
31,1
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1523,0
1306,1
985,1
985,1
985,1
27,1
27,1
27,1
44,0
809,0
809,0
809,0
809,0
819,0
809,0
809,0
809,0
853,0
0,0
0,0
240,0
240,0
240,0
240,0
240,0
14,0
14,0
14,0
0,1
14,0
0,1
14,0
7,1
19,0
7,1
7,1
19,0
19,0
19,0
19,0
0,1
19,0
0,1
0,1
0,1
19,0
7,1
403,0
0,0
0,0
0,0
0,0
189,0
0,1
0,1
1181,0
1181,0
1160,0
1160,0
901,0
1020,0
1125,0
50,1
1005,0
816,0
1034,0
556,0
457,0
1160,0
576,0
796,0
1160,0
1005,0
1023,0
1160,0
1076,0
445,1
908,0
901,0
984,0
1111,0
992,0
1153,0
951,0
796,0
802,0
949,0
1103,0
1160,0
880,0
929,0
880,0
1160,0
1023,0
943,0
880,0
227,0
697,1
888,0
1040,0
1082,0
647,1
576,0
1103,0
1160,0
816,0
1153,0
880,0
816,0
1069,0
1082,0
1103,0
7,1
648,0
1160,0
1145,0
1082,0
196,1
2023,0
63,1
2017,0
2023,0
126,1
118,1
183,1
1933,0
1820,0
64,1
1747,0
9,1
196,1
1933,0
1933,0
2023,0
1148,0
64,1
2023,0
80,1
63,1
216,1
0,1
11,1
64,1
118,1
126,1
2023,0
1747,0
1747,0
1164,0
2023,0
1933,0
1618,0
118,1
216,1
80,1
2017,0
2017,0
1618,0
0,1
196,1
2023,0
1933,0
2023,0
2023,0
64,1
1842,0
1944,0
2023,0
1933,0
64,1
118,1
6,1
1933,0
1854,0
2023,0
2017,0
1847,0
73,1
2023,0
1618,0
2023,0
57,1
2017,0
1747,0
2023,0
1847,0
1164,0
12,1
863,0
0,1
879,0
869,0
869,0
879,0
79,0
307,0
89,1
95,0
0,1
408,0
200,1
303,0
27,1
289,0
97,1
34,1
0,1
376,0
144,1
144,1
296,0
200,1
408,0
317,0
456,0
0,1
331,0
1031,0
331,0
898,0
408,0
862,0
144,1
1031,0
376,0
862,0
506,0
303,0
1031,0
307,0
408,0
376,0
419,0
376,0
376,0
303,0
0,0
376,0
317,0
408,0
476,0
408,0
0,1
331,0
376,0
336,0
419,0
870,0
200,1
331,0
419,0
1031,0
95,0
0,1
56,1
296,0
102,1
456,0
623,0
711,0
307,0
0,1
376,0
1031,0
408,0
376,0
456,0
296,0
79,0
862,0
307,0
317,0
317,0
331,0
235,0
296,0
144,1
462,0
0,1
27,1
408,0
0,1
27,1
0,1
303,0
408,0
324,0
965,0
324,0
1031,0
254,0
376,0
307,0
34,1
0,0
296,0
303,0
408,0
376,0
408,0
0,1
862,0
144,1
27,1
771,0
387,0
0,1
303,0
331,0
200,1
408,0
376,0
408,0
408,0
0,0
0,1
0,1
0,1
122,1
122,1
0,1
263,1
257,1
122,1
263,1
863,0
6,1
216,0
216,0
0,1
0,1
216,0
0,1
0,1
0,1
0,1
0,1
6,1
216,0
0,1
0,1
427,0
419,0
427,0
419,0
419,0
419,0
419,0
323,0
419,0
419,0
12,1
88,1
0,1
67,1
427,0
303,0
0,1
427,0
407,0
407,0
427,0
427,0
0,1
0,1
317,0
77,0
303,0
26,1
12,1
427,0
70,1
419,0
419,0
407,0
415,0
419,0
419,0
419,0
427,0
0,1
0,1
4,1
0,1
427,0
419,0
0,1
427,0
330,0
427,0
427,0
77,0
0,1
77,0
26,1
0,1
0,1
323,0
24,1
24,1
371,0
371,0
38,1
76,1
76,1
76,1
309,0
309,0
309,0
49,1
172,0
172,0
49,1
49,1
49,1
178,0
49,1
172,0
178,0
172,0
49,1
172,0
178,0
178,0
49,1
172,0
178,0
172,0
172,0
49,1
178,0
178,0
178,0
49,1
49,1
172,0
49,1
178,0
49,1
178,0
178,0
172,0
178,0
49,1
49,1
172,0
178,0
172,0
49,1
49,1
172,0
172,0
49,1
49,1
178,0
178,0
172,0
178,0
172,0
49,1
172,0
172,0
49,1
49,1
178,0
172,0
178,0
49,1
49,1
172,0
49,1
178,0
178,0
172,0
49,1
49,1
172,0
46,0
49,1
172,0
49,1
172,0
172,0
178,0
178,0
49,1
178,0
172,0
178,0
178,0
178,0
178,0
49,1
172,0
49,1
178,0
49,1
178,0
49,1
49,1
178,0
49,1
178,0
172,0
172,0
178,0
172,0
178,0
172,0
178,0
49,1
172,0
49,1
172,0
49,1
178,0
49,1
49,1
38,0
178,0
172,0
172,0
178,0
178,0
178,0
178,0
172,0
178,0
172,0
178,0
178,0
172,0
172,0
178,0
172,0
49,1
172,0
172,0
172,0
49,1
172,0
49,1
172,0
172,0
49,1
178,0
49,1
172,0
49,1
178,0
49,1
178,0
423,0
453,0
287,0
423,0
423,0
20,1
405,0
20,1
263,0
20,1
20,1
263,0
20,1
20,1
406,0
75,0
405,0
405,0
34,0
214,1
20,1
236,0
59,0
300,1
20,1
20,1
221,0
14,1
20,1
6,1
20,1
21,1
6,1
34,0
405,0
20,1
405,0
8,1
159,1
406,0
20,1
20,1
75,0
20,1
75,0
405,0
123,0
68,0
20,1
20,1
145,1
20,1
21,1
20,1
229,1
20,1
6,1
20,1
214,1
59,0
195,1
8,1
20,1
405,0
97,1
75,0
405,0
343,0
25,1
20,1
75,0
20,1
20,1
20,1
405,0
343,0
405,0
343,0
123,0
20,1
59,1
405,0
20,1
405,0
59,0
405,0
20,1
405,0
20,1
405,0
59,0
59,0
20,1
20,1
269,1
343,0
75,0
269,1
305,0
405,0
25,1
8,1
0,1
20,1
20,1
405,0
214,1
27,0
214,1
214,1
90,0
42,1
59,0
6,1
314,1
8,1
25,1
189,1
75,0
20,1
229,1
20,1
279,0
405,0
55,0
236,0
25,1
41,1
41,1
343,0
20,1
75,0
405,0
160,0
236,0
20,1
20,1
20,1
237,1
59,0
20,1
300,1
6,1
118,0
236,0
263,0
0,1
20,1
236,0
20,1
406,0
237,1
20,1
59,0
314,1
405,0
20,1
75,0
221,0
193,1
143,1
405,0
343,0
20,1
20,1
145,1
405,0
172,0
55,0
20,1
20,1
237,1
305,0
20,1
20,1
20,1
42,1
59,0
20,1
405,0
336,1
59,0
20,1
41,1
20,1
59,0
305,0
229,1
17,1
405,0
20,1
75,0
123,0
20,1
157,1
59,0
20,1
20,1
286,1
314,1
393,0
34,1
20,1
393,0
59,0
90,0
20,1
343,0
300,1
20,1
75,0
405,0
75,0
229,1
314,1
20,1
6,1
17,1
229,1
20,1
20,1
20,1
405,0
320,0
406,0
405,0
